"filename", "language", "C", "comment", "blank", "total"
"/home/asemones/Documents/personal_code/dbase/src/db/backend/compactor.h", "C", -39, 2, 9, -28
"/home/asemones/Documents/personal_code/dbase/src/db/backend/indexer.h", "C", 16, 0, 2, 18
"/home/asemones/Documents/personal_code/dbase/src/db/backend/iter.h", "C", 0, 0, 4, 4
"/home/asemones/Documents/personal_code/dbase/src/db/backend/json.h", "C", 13, 0, 6, 19
"/home/asemones/Documents/personal_code/dbase/src/db/backend/key-value.h", "C", 56, 1, 2, 59
"/home/asemones/Documents/personal_code/dbase/src/db/backend/lsm.h", "C", -5, -1, 6, 0
"/home/asemones/Documents/personal_code/dbase/src/db/backend/option.h", "C", 3, 0, 0, 3
"/home/asemones/Documents/personal_code/dbase/src/db/backend/sst_builder.h", "C", 8, 0, 1, 9
"/home/asemones/Documents/personal_code/dbase/src/ds/associative_array.h", "C", 0, 0, 1, 1
"/home/asemones/Documents/personal_code/dbase/src/ds/byte_buffer.h", "C", -1, 1, 0, 0
"/home/asemones/Documents/personal_code/dbase/src/ds/cache.h", "C", 3, 0, -1, 2
"/home/asemones/Documents/personal_code/dbase/src/ds/linkl.h", "C", 0, 0, 1, 1
"/home/asemones/Documents/personal_code/dbase/src/ds/list.h", "C", 8, 0, 2, 10
"/home/asemones/Documents/personal_code/dbase/src/tests/test_iter.h", "C", -1, 0, 1, 0
"/home/asemones/Documents/personal_code/dbase/src/tests/test_util_funcs.h", "C", 9, 0, -2, 7
"/home/asemones/Documents/personal_code/dbase/src/tests/testcompactor.h", "C", 14, 0, 9, 23
"/home/asemones/Documents/personal_code/dbase/src/tests/testrunner.c", "C", 20, -30, 1, -9
"/home/asemones/Documents/personal_code/dbase/src/util/stringutil.h", "C", 6, 0, 0, 6
"Total", "-", 110, -27, 42, 125
